Year,Yr,YrsInOrg,Entry Point,EP,Block,BL,System,Sys,Plot,PL,SpringCoverCrop,CashCrop,CC,FallCoverCrop,TillageTreatment,CurrentTillage,TillageforCurrentCropEstablishment,NumSoilDistrubEvents,NUmAboveGroundDistrub,NumDaysSinceLastSoilDisturb,SDR,Total_NumofDisturb,SamplingEvent,SE,SETiming,CurrentCrop,SampleDate,Plot,MatricPotential,Gravimetric,WaxwormRotten,WaxwormTotal ,WaxwormTotal_Infected,Percent_Waxworm_Infect,MealwormTotal ,MealwormTotal_Infect,Perc_Meal_Infect,barpH,barEC,ActiveCmg/kg,SoilStandardAbsorbance,SoultionStandardAbsorbance,y-intercept,slope,ActiveC/mg/kgLEWIS,AggregateStability,SampleDateCheck,Plot Number Check,aalpH,P,K,Mg,Ca,CEC,%CECK,%CECMg,%CECCa,zinc,copper,sulfur,OrganicMatterPerc,salts,SandPerc,SiltPerc,ClayPerc,SoilTexturalClass,g,Cornell_soil_texture_class,Cornell_soil_texture_sand,Cornell_soil_texture_silt,Cornell_soil_texture_clay,Cornell_pred_water_capacity,Cornell_pred_water_capacity_rating,Cornell_aggregate_stability,Cornell_aggregate_stability_rating,Cornell_organic_matter,Cornell_organic_matter_rating,Cornell_soc,Cornell_total_c,Cornell_total_n,Cornell_ace_soil_protein_index,Cornell_ace_soil_protein_index_rating,Cornell_respiration,Cornell_respiration_rating,Cornell_active_carbon,Cornell_active_carbon_rating,Cornell_ph,Cornell_ph_rating,Cornell_p,Cornell_p_rating,Cornell_k,Cornell_k_rating,Cornell_mg,Cornell_fe,Cornell_mn,Cornell_zn,Cornell_minor_elements_rating,Cornell_overall score,Cornell_Mod. Morgan Al. ppm,Cornell_Mod. Morgan Ca. ppm,Cornell_Mod. Morgan Cu. ppm,Cornell_Mod. Morgan S. ppm,Cornell_Mod. Morgan B. ppm,Sample number
2021,Yr1,8,1,EP1,3,BL3,3,Sys3,331,PL331,Cereal Rye,Soybean,S,Winter Wheat,reduced,shallow,highspeed disk,0,1,202,3,1,1,SE1,Prior to Cover Crop Termination,Cereal Rye,4/16/2021,331,7,0.25,6,15,4,26.67,15,1,6.67,6.95,71.44,419.21,0.337,0.883,-0.002592638,0.022430777,,.,4/16/2021,331,7.01,23,127,259,1571.7,10.3,3.1,20.9,76,1.6,2.4,7.3,2.15,0.12,16.14,50.29,33.57,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,161
2021,Yr1,8,1,EP1,4,BL4,3,Sys3,421,PL421,Cereal Rye,Soybean,S,Winter Wheat,reduced,shallow,highspeed disk,0,1,202,3,1,1,SE1,Prior to Cover Crop Termination,Cereal Rye,4/16/2021,421,4,0.26,13,15,2,13.33,14,4,28.57,6.71,48.73,337.92,0.385,0.84,-0.001186173,0.022185984,,.,4/16/2021,421,6.46,16,87,128,1146.6,9,2.5,11.8,63.5,1.4,2,7.7,2.18,0.1,20.1,44.89,35.01,Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,169
2021,Yr1,8,2,EP2,1,BL1,1,Sys1,121,PL121,Winter Wheat/ Red Clover,Winter Wheat/ Red Clover,W,Red Clover/ Cereal Rye,standard,reduced,chisel,0,1,191,1,1,1,SE1,Prior to Cover Crop Termination,Winter Wheat/ Red Clover,4/16/2021,121,12,0.25,12,15,0,0,15,1,6.67,6.87,61.89,385.34,0.409,1.054,-0.0010094,0.022071773,,.,4/16/2021,121,6.66,14,135,213,1605.6,12.1,2.8,14.6,66.1,1.2,3.6,7.7,2.28,0.1,26.03,41.7,32.27,Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,133
2021,Yr1,8,2,EP2,2,BL2,1,Sys1,221,PL221,Winter Wheat/ Red Clover,Winter Wheat/ Red Clover,W,Red Clover/ Cereal Rye,standard,reduced,chisel,0,1,191,1,1,1,SE1,Prior to Cover Crop Termination,Winter Wheat/ Red Clover,4/16/2021,221,7,0.23,11,15,2,13.33,15,2,13.33,6.74,56.1,348.38,0.37,0.943,-0.001186173,0.022185984,,.,4/16/2021,221,6.65,21,96,164,1426.8,10.9,2.2,12.5,65.2,1.3,3.9,8.9,2.01,0.1,17.82,42.6,39.58,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,145
2021,Yr1,8,2,EP2,3,BL3,1,Sys1,323,PL323,Winter Wheat/ Red Clover,Winter Wheat/ Red Clover,W,Red Clover/ Cereal Rye,standard,reduced,chisel,0,1,191,1,1,1,SE1,Prior to Cover Crop Termination,Winter Wheat/ Red Clover,4/16/2021,323,6,0.25,13,15,2,13.33,15,2,13.33,6.84,52.7,317.67,0.37,0.943,-0.001186173,0.022185984,,.,4/16/2021,323,6.72,25,101,136,1088.4,8.8,2.9,12.8,61.6,1.3,3,6.9,1.81,0.09,19.2,44.34,36.46,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,159
2021,Yr1,8,2,EP2,4,BL4,1,Sys1,432,PL432,Winter Wheat/ Red Clover,Winter Wheat/ Red Clover,W,Red Clover/ Cereal Rye,standard,reduced,chisel,0,1,191,1,1,1,SE1,Prior to Cover Crop Termination,Winter Wheat/ Red Clover,4/16/2021,432,6,0.25,12,15,3,20,15,2,13.33,6.78,57.89,382.1,0.384,0.849,-0.001380102,0.022570611,,.,4/16/2021,432,6.76,27,133,127,1190.1,9.3,3.6,11.3,63.6,1.3,1.2,7,1.9,0.1,14.42,50.06,35.51,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,174
2021,Yr1,8,2,EP2,1,BL1,2,Sys2,122,PL122,Winter Wheat,Winter Wheat,W,Oat/Pea/Radish,shallow,shallow,highspeed disk,0,0,191,0,0,1,SE1,Prior to Cover Crop Termination,Winter Wheat,4/16/2021,122,4.4,0.25,15,15,0,0,15,2,13.33,6.36,60.51,343.5,0.37,0.943,-0.001186173,0.022185984,,.,4/16/2021,122,6.37,20,137,133,1325.3,10.3,3.4,10.8,64.4,1.5,3.4,7.6,2.35,0.11,22.19,45.39,32.42,Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,134
2021,Yr1,8,2,EP2,2,BL2,2,Sys2,224,PL224,Winter Wheat,Winter Wheat,W,Oat/Pea/Radish,shallow,shallow,highspeed disk,0,0,191,0,0,1,SE1,Prior to Cover Crop Termination,Winter Wheat,4/16/2021,224,4,0.24,14,15,1,6.67,15,1,6.67,6.94,63.6,407.17,0.337,0.883,-0.002592638,0.022430777,,.,4/16/2021,224,6.67,19,110,191,1416.7,11,2.6,14.5,64.6,1.4,3.6,7.5,1.98,0.13,15.5,51.28,33.23,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,148
2021,Yr1,8,2,EP2,3,BL3,2,Sys2,324,PL324,Winter Wheat,Winter Wheat,W,Oat/Pea/Radish,shallow,shallow,highspeed disk,0,0,191,0,0,1,SE1,Prior to Cover Crop Termination,Winter Wheat,4/16/2021,324,3,0.27,13,15,2,13.33,15,0,0,6.82,51.4,352.17,0.353,1.001,-0.0010094,0.022071773,,.,4/16/2021,324,6.72,26,83,123,1201.8,9.2,2.3,11.1,65,1.5,1.6,7.1,2.06,0.09,18.62,45.69,35.69,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,160
2021,Yr1,8,2,EP2,4,BL4,2,Sys2,433,PL433,Winter Wheat,Winter Wheat,W,Oat/Pea/Radish,shallow,shallow,highspeed disk,0,0,191,0,0,1,SE1,Prior to Cover Crop Termination,Winter Wheat,4/16/2021,433,3,0.25,15,15,0,0,15,3,20,6.71,52.64,378.63,0.415,0.942,-0.001380102,0.022570611,,.,4/16/2021,433,6.55,28,115,116,1162.6,9.1,3.2,10.7,64.1,1.7,2.9,7.9,2.15,0.1,17.29,50.47,32.24,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,175
2021,Yr1,8,2,EP2,1,BL1,3,Sys3,124,PL124,Winter Wheat/ Red Clover,Winter Wheat/ Red Clover,W,Red Clover/ Cereal Rye,reduced,shallow,highspeed disk,0,1,191,1,1,1,SE1,Prior to Cover Crop Termination,Winter Wheat/ Red Clover,4/16/2021,124,5.9,0.25,7,14,7,50,15,9,60,6.56,60.83,404.73,0.333,0.946,-0.002592638,0.022430777,,.,4/16/2021,124,6.48,23,113,147,1310.2,10.3,2.8,11.9,63.8,1.5,3.5,8.3,2.39,0.1,24.68,48.67,26.65,Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,136
2021,Yr1,8,2,EP2,2,BL2,3,Sys3,222,PL222,Winter Wheat/ Red Clover,Winter Wheat/ Red Clover,W,Red Clover/ Cereal Rye,reduced,shallow,highspeed disk,0,1,191,1,1,1,SE1,Prior to Cover Crop Termination,Winter Wheat/ Red Clover,4/16/2021,222,6,0.24,14,15,0,0,16,1,6.25,6.64,55.9,314.97,0.329,0.901,-0.001186173,0.022185984,,.,4/16/2021,222,6.61,18,112,152,1284.9,10,2.9,12.7,64.4,1.4,3.2,7.6,2,0.23,21.14,47.29,31.57,Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,146
2021,Yr1,8,2,EP2,3,BL3,3,Sys3,322,PL322,Winter Wheat/ Red Clover,Winter Wheat/ Red Clover,W,Red Clover/ Cereal Rye,reduced,shallow,highspeed disk,0,1,191,1,1,1,SE1,Prior to Cover Crop Termination,Winter Wheat/ Red Clover,4/16/2021,322,6,0.25,1,15,14,93.33,15,7,46.67,6.72,51.6,337.92,0.385,0.84,-0.001186173,0.022185984,,.,4/16/2021,322,6.5,21,104,115,1149.3,9,3,10.7,64.1,1.3,1.3,7.4,1.97,0.09,13.21,48.49,38.3,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,158
2021,Yr1,8,2,EP2,4,BL4,3,Sys3,431,PL431,Winter Wheat/ Red Clover,Winter Wheat/ Red Clover,W,Red Clover/ Cereal Rye,reduced,shallow,highspeed disk,0,1,191,1,1,1,SE1,Prior to Cover Crop Termination,Winter Wheat/ Red Clover,4/16/2021,431,6,0.24,6,15,7,46.67,15,1,6.67,6.8,55.56,302.27,0.37,0.943,-0.001186173,0.022185984,,.,4/16/2021,431,6.74,19,115,138,1280.4,9.8,3,11.7,65,1.3,2.4,7.2,1.88,0.11,11.05,51.81,37.14,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,173
2021,Yr1,8,3,EP3,1,BL1,1,Sys1,131,PL131,Red Clover/ Cereal Rye,Corn,C,Annual Ryegrass/Radish/Crimson Clover,standard,standard,moldboard,0,0,200,0,0,1,SE1,Prior to Cover Crop Termination,Red Clover/ Cereal Rye,4/16/2021,131,5.5,0.24,11,15,2,13.33,14,4,28.57,6.47,79.54,380.85,0.385,0.84,-0.001186173,0.022185984,,.,4/16/2021,131,6.4,25,124,157,1318.7,10.2,3.1,12.8,64.5,1.6,3.6,7.4,2.22,0.12,34.59,30.18,35.24,Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,137
2021,Yr1,8,3,EP3,2,BL2,1,Sys1,233,PL233,Red Clover/ Cereal Rye,Corn,C,Annual Ryegrass/Radish/Crimson Clover,standard,standard,moldboard,0,0,200,0,0,1,SE1,Prior to Cover Crop Termination,Red Clover/ Cereal Rye,4/16/2021,233,6,0.22,12,15,1,6.67,13,1,7.69,6.63,80.4,347.28,0.37,0.943,-0.001186173,0.022185984,,.,4/16/2021,233,6.48,34,99,160,1342.8,10.3,2.5,12.9,65.2,2.3,4.5,7.9,1.75,0.16,24.47,44.06,31.47,Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,151
2021,Yr1,8,3,EP3,3,BL3,1,Sys1,313,PL313,Red Clover/ Cereal Rye,Corn,C,Annual Ryegrass/Radish/Crimson Clover,standard,standard,moldboard,0,0,200,0,0,1,SE1,Prior to Cover Crop Termination,Red Clover/ Cereal Rye,4/16/2021,313,8,0.21,10,15,0,0,15,1,6.67,7.02,58.9,324.37,0.33,0.88,-0.001186173,0.022185984,,.,4/16/2021,313,6.96,12,88,303,1525.9,10.4,2.2,24.3,73.5,1.5,4.4,7.9,1.67,0.1,23.23,42.96,33.81,Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,155
2021,Yr1,8,3,EP3,4,BL4,1,Sys1,413,PL413,Red Clover/ Cereal Rye,Corn,C,Annual Ryegrass/Radish/Crimson Clover,standard,standard,moldboard,0,0,200,0,0,1,SE1,Prior to Cover Crop Termination,Red Clover/ Cereal Rye,4/16/2021,413,13,0.23,10,14,1,7.14,15,1,6.67,6.91,52.76,347.23,0.405,0.999,-0.0010094,0.022071773,,.,4/16/2021,413,6.81,11,132,258,1551.9,10.2,3.3,21,75.7,1.3,1.9,6.6,2.36,0.12,43.39,28,28.61,Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,167
2021,Yr1,8,3,EP3,1,BL1,2,Sys2,132,PL132,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,reduced,chisel,0,0,220,0,0,1,SE1,Prior to Cover Crop Termination,Oat/Pea/Radish,4/16/2021,132,5.9,0.27,11,14,3,21.43,15,2,13.33,6.43,71.49,329.65,0.409,1.054,-0.0010094,0.022071773,,.,4/16/2021,132,6.29,31,135,116,1107.8,9.1,3.8,10.7,61.2,1.8,3.4,8.4,2.27,0.13,44.19,30.32,25.49,Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,138
2021,Yr1,8,3,EP3,2,BL2,2,Sys2,232,PL232,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,reduced,chisel,0,0,220,0,0,1,SE1,Prior to Cover Crop Termination,Oat/Pea/Radish,4/16/2021,232,6,0.21,13,14,1,7.14,15,2,13.33,6.97,61.4,396.68,0.333,0.946,-0.002592638,0.022430777,,.,4/16/2021,232,6.87,33,109,251,1482.1,9.8,2.9,21.4,75.8,2.2,4,8,1.76,0.14,22.5,40.69,36.81,Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,150
2021,Yr1,8,3,EP3,3,BL3,2,Sys2,312,PL312,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,reduced,chisel,0,0,220,0,0,1,SE1,Prior to Cover Crop Termination,Oat/Pea/Radish,4/16/2021,312,5,0.19,14,15,0,0,15,1,6.67,6.65,47.2,293.38,0.365,0.885,-0.002592638,0.022430777,,.,4/16/2021,312,6.53,14,93,130,1019.4,8.4,2.8,12.9,60.5,1,1.4,7.9,1.4,0.08,17.96,45.59,36.45,Silty Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,154
2021,Yr1,8,3,EP3,4,BL4,2,Sys2,412,PL412,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,reduced,chisel,0,0,220,0,0,1,SE1,Prior to Cover Crop Termination,Oat/Pea/Radish,4/16/2021,412,11,0.24,13,15,0,0,15,1,6.67,7.3,63.18,407.28,0.417,0.939,-0.001380102,0.022570611,,.,4/16/2021,412,7.41,10,137,409,1992.3,13.7,2.6,24.8,72.6,1.8,2.2,6.6,2.52,0.14,42.31,29.93,27.76,Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,166
2021,Yr1,8,3,EP3,1,BL1,3,Sys3,134,PL134,Red Clover/ Cereal Rye,Corn,C,Cereal Rye,reduced,no-till,none,0,0,200,0,0,1,SE1,Prior to Cover Crop Termination,Red Clover/ Cereal Rye,4/16/2021,134,7.2,0.25,8,14,4,28.57,15,4,26.67,6.3,72.65,411.95,0.365,0.885,-0.002592638,0.022430777,,.,4/16/2021,134,6.25,16,137,127,1251.1,9.9,3.6,10.7,63.4,1.7,3.2,7.5,2.27,0.14,34.48,38.68,26.84,Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,140
2021,Yr1,8,3,EP3,2,BL2,3,Sys3,234,PL234,Red Clover/ Cereal Rye,Corn,C,Cereal Rye,reduced,no-till,none,0,0,200,0,0,1,SE1,Prior to Cover Crop Termination,Red Clover/ Cereal Rye,4/16/2021,234,6,0.23,6,12,6,50,14,11,78.57,6.91,77.9,450.79,0.314,1.059,-0.0010094,0.022071773,,.,4/16/2021,234,6.75,21,68,261,1578.7,12.2,1.4,17.8,64.5,2,4.7,7.7,2.14,0.15,22.5,43.01,34.49,Clay Loam,9/13/2019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,152
