YrEPCashSysBLPLSE,Year,Yr,YrsInOrg,Entry Point,EP,Block,BL,System,Sys, Plot,Location,PLLoc,SpringCoverCrop,CashCrop,CC,FallCoverCrop,TillageTreatment,CurrentTillage,Num_SoilDisturb,Num_SoilAboveDisturb,Num_DaysSinceLastDisturb_Placement,Num_DaysSinceLastDisturb_Collection,Num_DaysSincePlant_Placement,Num_DaysSincePlant_Collection,Total_NumofDisturb,SDR,CurrentCrop ,Num_SampleEvents,SentSample event,SE_Timing,Placement_Date,Collection_Date, Plot,Location,Intact,Chewed,Eaten,Missing,Total,MatricPotential,Gravimetric,WaxwormRotten,WaxwormTotal ,WaxwormTotal_Infected,Percent_Waxworm_Infect,MealwormTotal ,MealwormTotal_Infect,Perc_Meal_Infect,barpH,barEC,ActiveCmg/kg,SoilStandardAbsorbance,SoultionStandardAbsorbance,y-intercept,slope,ActiveC/mg/kgLEWIS, Plot,SampleDateCheck,Plot Number Check,aalpH,P,K,Mg,Ca,CEC,%CECK,%CECMg,%CECCa,zinc,copper,sulfur,OrganicMatterPerc,salts,SandPerc,SiltPerc,ClayPerc
Yr1EP3CornSys2BL3PL312-1Post Plant,2021,Yr1,8,3,EP3,3,BL3,2,Sys2,312,1,PL312-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,11,2,13,14,16,17,13,153,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,312,1,4,5,1,0,10,39,0.2,10,16,0,0,15,1,6.67,6.57,115.8,263.53,0.329,0.901,-0.001186173,0.022185984,0.28,312,6/21/2021,312,6.8,22,135,303,1672,13.2,2.6,19.1,63.2,1.9,1.4,8.9,2.48,0.18,16.48,36.93,46.59
Yr1EP3CornSys1BL3PL313-1Post Plant,2021,Yr1,8,3,EP3,3,BL3,1,Sys1,313,1,PL313-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,313,1,10,0,0,0,10,24,0.22,5,15,1,6.67,15,5,33.33,6.39,172.7,236.84,0.33,0.88,-0.001186173,0.022185984,0.24,313,6/21/2021,313,6.3,28,138,174,1389,10.9,3.2,13.2,63.4,1.8,3.2,9.5,2.33,0.25,19.22,44.8,35.98
Yr1EP3CornSys3BL3PL314-1Post Plant,2021,Yr1,8,3,EP3,3,BL3,3,Sys3,314,1,PL314-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,314,1,9,1,0,0,10,16,0.22,6,15,1,0,15,2,13.33,6.45,145.7,359.92,0.362,1.052,-0.0010094,0.022071773,0.38,314,6/21/2021,314,6.5,21,138,238,1560.1,12.1,2.9,16.3,64.3,1.7,1.2,9.3,2.48,0.19,14.53,41.16,44.31
Yr1EP3CornSys2BL4PL412-1Post Plant,2021,Yr1,8,3,EP3,4,BL4,2,Sys2,412,1,PL412-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,11,2,13,14,16,17,13,153,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,412,1,8,0,2,0,10,45,0.2,10,15,0,0,15,1,6.67,6.95,103.6,350.25,0.337,0.883,-0.002592638,0.022430777,0.36,412,6/21/2021,412,7.1,10,136,352,1869.6,12.6,2.8,23.2,74,1.7,1.8,7.2,2.69,0.16,14.42,50.06,35.51
Yr1EP3CornSys1BL4PL413-1Post Plant,2021,Yr1,8,3,EP3,4,BL4,1,Sys1,413,1,PL413-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,413,1,9,1,0,0,10,21,0.21,6,15,1,6.67,15,2,13.33,6.71,163.8,288.91,0.314,1.059,-0.0010094,0.022071773,0.36,413,6/21/2021,413,6.6,17,146,265,1597.8,12.6,3,17.6,63.5,1.6,2,8.9,2.26,0.21,17.29,50.47,32.24
Yr1EP3CornSys3BL4PL414-1Post Plant,2021,Yr1,8,3,EP3,4,BL4,3,Sys3,414,1,PL414-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,11,2,13,14,16,17,13,158,Corn,1,SE1,Post Plant,6/23/2021,6/24/2021,414,1,8,2,0,0,10,19,0.21,6,15,2,6.67,15,4,26.67,6.53,157.3,367.67,0.339,1.026,-0.0010094,0.022071773,0.40,414,6/21/2021,414,6.4,9,117,257,1584.2,12.4,2.4,17.3,64.1,1.5,1.3,8.1,2.49,0.23,16.42,46.02,37.56
Yr1EP1SoybeanSys1BL1PL111-1Post Plant,2021,Yr1,8,1,EP1,1,BL1,1,Sys1,111,1,PL111-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,9,2,5,6,27,28,11,149,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,111,1,6,4,0,0,10,31,0.21,11,15,0,0,15,3,20,6.73,90.2,348.98,0.37,0.943,-0.001,0.022,0.35,111,6/21/2021,111,6.73,10,110,255,1681.1,12.8,2.2,16.6,65.6,1.2,4,7.7,2.29,0.13,15.06,47.31,37.63
Yr1EP1SoybeanSys2BL1PL112-1Post Plant,2021,Yr1,8,1,EP1,1,BL1,2,Sys2,112,1,PL112-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,9,2,5,6,27,28,11,150,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,112,1,9,1,0,0,10,39,0.21,8,15,0,0,15,2,13.33,6.9,87.4,384.54,0.262,0.845,-0.001,0.023,0.44,112,6/21/2021,112,6.97,13,137,270,1533.9,10.3,3.4,21.9,74.7,1.2,3.2,6.4,2.21,0.13,12.4,52.32,35.28
Yr1EP1SoybeanSys3BL1PL114-1Post Plant,2021,Yr1,8,1,EP1,1,BL1,3,Sys3,114,1,PL114-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,2,28,29,28,29,3,12,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,114,1,1,3,6,0,10,10,0.23,12,15,2,13.33,15,8,53.33,6.85,61.6,363.95,0.365,0.885,-0.003,0.022,0.34,114,6/21/2021,114,7.06,10,133,285,1594.8,10.7,3.2,22.2,74.6,1.3,3.4,6.6,2.18,0.1,17.89,42.5,39.61
Yr1EP1SoybeanSys1BL2PL211-1Post Plant,2021,Yr1,8,1,EP1,2,BL2,1,Sys1,211,1,PL211-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,9,2,5,6,27,28,11,149,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,211,1,8,1,1,0,10,21,0.18,10,15,0,0,15,3,20,6.75,74.6,303.42,0.329,0.901,-0.001,0.022,0.32,211,6/21/2021,211,6.73,14,134,191,1484.6,11.4,3,14,65.4,1.4,3.5,7,2.14,0.11,26.03,41.7,32.27
Yr1EP1SoybeanSys2BL2PL212-1Post Plant,2021,Yr1,8,1,EP1,2,BL2,2,Sys2,212,1,PL212-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,9,2,5,6,27,28,11,150,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,212,1,5,5,0,0,10,40,0.19,7,15,0,0,15,2,13.33,6.52,103.2,327.93,0.37,0.943,-0.001,0.022,0.39,212,6/21/2021,212,6.51,19,123,149,1352.5,10.5,3,11.8,64.3,1.7,3.6,8,2.38,0.15,22.19,45.39,32.42
Yr1EP1SoybeanSys3BL2PL214-1Post Plant,2021,Yr1,8,1,EP1,2,BL2,3,Sys3,214,1,PL214-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,2,28,29,28,29,3,12,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,214,1,4,6,0,0,10,6,0.21,5,15,9,60,15,8,53.33,6.72,74.1,365.4,0.333,0.946,-0.003,0.022,0.33,214,6/21/2021,214,6.55,17,89,135,1311.1,9.9,2.3,11.4,66.2,1.4,3.3,7,2.22,0.1,24.68,48.67,26.65
Yr1EP1SoybeanSys3BL3PL331-1Post Plant,2021,Yr1,8,1,EP1,3,BL3,3,Sys3,331,1,PL331-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,2,28,29,28,29,3,12,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,331,1,3,2,5,0,10,12,0.19,8,15,0,0,15,3,20,6.99,75.1,330.15,0.337,0.883,-0.003,0.022,0.23,331,6/21/2021,331,7.37,15,105,325,1520.5,10.6,2.5,25.6,71.9,1.5,3.5,6.2,1.88,0.1,34.59,30.18,35.24
Yr1EP1SoybeanSys2BL3PL333-1Post Plant,2021,Yr1,8,1,EP1,3,BL3,2,Sys2,333,1,PL333-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,10,2,5,6,27,28,12,150,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,333,1,8,2,0,0,10,45,0.17,8,15,0,0,15,4,26.67,6.77,87.8,372.15,0.285,0.979,-0.001,0.023,0.18,333,6/21/2021,333,6.92,10,96,300,1524.9,10.4,2.4,24.1,73.5,1.4,3.9,6.5,2.02,0.12,31.22,37.16,31.62
Yr1EP1SoybeanSys1BL3PL334-1Post Plant,2021,Yr1,8,1,EP1,3,BL3,1,Sys1,334,1,PL334-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,10,2,5,6,27,28,12,149,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,334,1,9,1,0,0,10,31,0.17,5,15,0,0,14,2,14.29,6.55,83.2,275.63,0.384,0.849,-0.001,0.023,0.35,334,6/21/2021,334,6.43,17,85,143,1198.6,9.4,2.3,12.7,63.7,1.4,1.3,8.8,1.79,0.12,34.48,38.68,26.84
Yr1EP1SoybeanSys3BL4PL421-1Post Plant,2021,Yr1,8,1,EP1,4,BL4,3,Sys3,421,1,PL421-1,Cereal Rye,Soybean,S,Wheat,reduced,notill,1,2,28,29,28,29,3,12,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,421,1,6,0,4,0,10,4,0.25,9,15,5,33.33,15,8,53.33,6.58,59.9,338.16,0.33,0.88,-0.001,0.022,0.35,421,6/21/2021,421,6.59,15,77,117,1031.8,8.3,2.4,11.7,61.9,1.4,1.7,6.6,2.41,0.09,15.23,50.55,34.23
Yr1EP1SoybeanSys2BL4PL423-1Post Plant,2021,Yr1,8,1,EP1,4,BL4,2,Sys2,423,1,PL423-1,Cereal Rye,Soybean,S,Wheat,shallow,shallow,10,2,5,6,27,28,12,150,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,423,1,7,3,0,0,10,53,0.21,7,15,0,0,14,2,14.29,6.56,106.5,329.39,0.329,0.901,-0.001,0.022,0.35,423,6/21/2021,423,6.53,15,98,162,1424.1,10.7,2.3,12.6,66.4,1.6,2.2,8,2.26,0.15,11.32,50.94,37.74
Yr1EP1SoybeanSys1BL4PL424-1Post Plant,2021,Yr1,8,1,EP1,4,BL4,1,Sys1,424,1,PL424-1,Annual Ryegrass/Crimson Clover/Radish,Soybean,S,Wheat,standard,standard,10,2,5,6,27,28,12,149,Soybean,1,SE1,Post Plant,6/23/2021,6/24/2021,424,1,3,5,2,0,10,42,0.21,5,15,3,20,15,1,6.67,6.4,88.8,308.88,0.333,0.946,-0.003,0.022,0.35,424,6/21/2021,424,6.43,30,97,106,1108.2,8.7,2.9,10.2,63.9,1.4,1,7.7,1.84,0.13,13.69,48.11,38.2
Yr1EP3Alfalfa/OrchardgrassSys4BL1PL133-1Late Summer,2021,Yr1,8,3,EP3,1,BL1,4,Sys4,133,1,PL133-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,6,173,174,173,174,12,120,Alfalfa/Orchardgrass,2,SE2,Late Summer,9/27/2021,9/28/2021,133,1,4,5,1,0,10,6.1,0.19,8,14,4,28.57,15,4,26.67,6.31,60.3,302.1,0.464,1.021,-0.001,0.022,0.30,133,9/17/2021,133,6.27,27,116,125,1151.4,10.5,2.8,9.9,54.8,1.8,4.3,7.9,2.3,0.1,31.22,37.16,31.62
Yr1EP3Alfalfa/OrchardgrassSys4BL2PL231-1Late Summer,2021,Yr1,8,3,EP3,2,BL2,4,Sys4,231,1,PL231-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,6,173,174,173,174,12,120,Alfalfa/Orchardgrass,2,SE2,Late Summer,9/27/2021,9/28/2021,231,1,3,2,5,0,10,7,0.21,8,15,7,46.67,15,11,73.33,6.79,63.74,336.16,0.518,1.031,-0.001,0.022,0.30,231,9/17/2021,231,6.79,20,63,207,1323.7,10.5,1.5,16.4,63,1.7,4.2,5.9,1.76,0.09,25.39,43.19,31.42
Yr1EP3Alfalfa/OrchardgrassSys4BL3PL311-1Late Summer,2021,Yr1,8,3,EP3,3,BL3,4,Sys4,311,1,PL311-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,6,173,174,173,174,12,120,Alfalfa/Orchardgrass,2,SE2,Late Summer,9/27/2021,9/28/2021,311,1,3,2,5,0,10,11,0.23,11,15,0,0,15,8,53.33,7.05,63.52,332.45,0.482,1.032,-0.001,0.022,0.32,311,9/17/2021,311,7.13,17,98,219,1291.7,8.5,2.9,21.4,75.7,1.3,2.4,4.7,2.22,0.09,17.61,43.13,39.26
Yr1EP3Alfalfa/OrchardgrassSys4BL4PL411-1Late Summer,2021,Yr1,8,3,EP3,4,BL4,4,Sys4,411,1,PL411-1,Alfalfa/Orchardgrass,Alfalfa/Orchardgrass,A,Alfalfa/Orchardgrass,perennial,reduced,6,6,173,174,173,174,12,120,Alfalfa/Orchardgrass,2,SE2,Late Summer,9/27/2021,9/28/2021,411,1,7,1,2,0,10,14,0.22,8,15,0,0,15,3,20,6.62,73.23,397.34,0.482,1.032,-0.001,0.022,0.38,411,9/17/2021,411,7.31,11,114,323,1678.9,11.4,2.6,23.7,73.8,1.8,2.2,5.2,2.44,0.1,34.33,39.48,26.19
Yr1EP3CornSys1BL1PL131-1Late Summer,2021,Yr1,8,3,EP3,1,BL1,1,Sys1,131,1,PL131-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,14,2,82,83,112,113,16,216,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,131,1,4,5,1,0,10,5.1,0.23,7,15,8,53.33,15,3,20,6.4,91.2,306.91,0.492,1.048,-0.001,0.022,0.30,131,9/17/2021,131,6.34,25,105,141,1217.6,9.5,2.8,12.3,63.9,1.4,3.8,7.9,2.02,0.11,34.59,30.18,35.24
Yr1EP3CornSys2BL1PL132-1Late Summer,2021,Yr1,8,3,EP3,1,BL1,2,Sys2,132,1,PL132-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,13,2,82,83,112,113,15,193,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,132,1,7,2,1,0,10,5,0.25,10,15,3,20,15,5,33.33,6.32,76.5,303,0.518,1.031,-0.001,0.022,0.27,132,9/17/2021,132,6.37,32,98,110,1082.6,8.6,2.9,10.7,63.1,1.8,3.9,8.5,2.2,0.11,44.19,30.32,25.49
Yr1EP3CornSys3BL1PL134-1Late Summer,2021,Yr1,8,3,EP3,1,BL1,3,Sys3,134,1,PL134-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,13,2,82,83,112,113,15,198,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,134,1,8,1,1,0,10,4.6,0.25,4,14,9,64.29,15,3,20,6.43,73.1,230.13,0.476,1.057,-0.001,0.022,0.23,134,9/17/2021,134,6.35,22,107,130,1204.5,9.4,2.9,11.5,64.2,2,4,8.4,2.27,0.11,34.48,38.68,26.84
Yr1EP3CornSys2BL2PL232-1Late Summer,2021,Yr1,8,3,EP3,2,BL2,2,Sys2,232,1,PL232-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,13,2,82,83,112,113,15,193,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,232,1,7,1,2,0,10,5,0.2,11,15,0,0,15,5,33.33,6.98,80.11,255.29,0.464,1.021,-0.001,0.022,0.25,232,9/17/2021,232,7.02,29,83,229,1323.4,8.7,2.4,21.8,75.7,2.2,4.2,6.2,1.66,0.08,22.5,40.69,36.81
Yr1EP3CornSys1BL2PL233-1Late Summer,2021,Yr1,8,3,EP3,2,BL2,1,Sys1,233,1,PL233-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,14,2,82,83,112,113,16,216,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,233,1,7,3,0,0,10,4,0.22,10,15,3,20,15,5,33.33,6.77,83.85,334.59,0.479,1.041,-0.001,0.022,0.33,233,9/17/2021,233,6.71,33,73,165,1159.9,9.4,2,14.7,61.9,2,4.6,6.6,1.84,0.11,24.47,44.06,31.47
Yr1EP3CornSys3BL2PL234-1Late Summer,2021,Yr1,8,3,EP3,2,BL2,3,Sys3,234,1,PL234-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,13,2,82,83,112,113,15,198,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,234,1,6,2,2,0,10,5,0.22,9,15,6,40,15,11,73.33,6.89,80.73,363.94,0.485,1.046,-0.001,0.022,0.35,234,9/17/2021,234,6.94,25,70,215,1446.2,9.2,2,19.5,78.6,2.2,4.6,6.3,2.12,0.09,22.5,43.01,34.49
Yr1EP3CornSys2BL3PL312-1Late Summer,2021,Yr1,8,3,EP3,3,BL3,2,Sys2,312,1,PL312-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,13,2,82,83,112,113,15,193,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,312,1,6,3,1,0,10,10,0.23,11,15,3,20,15,4,26.67,6.94,61.08,362.17,0.485,1.046,-0.001,0.022,0.35,312,9/17/2021,312,7.07,20,116,239,1429.2,9.4,3.2,21.1,75.7,1.5,1.4,5.7,2.06,0.09,17.96,45.59,36.45
Yr1EP3CornSys1BL3PL313-1Late Summer,2021,Yr1,8,3,EP3,3,BL3,1,Sys1,313,1,PL313-1,Cereal Rye/Red Clover,Corn,C,Annual Ryegrass/Crimson Clover/Radish,standard,standard,14,2,82,83,112,113,16,216,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,313,1,6,3,1,0,10,5,0.24,12,15,3,20,17,5,29.41,6.73,64.98,320.71,0.441,1.055,-0.001,0.022,0.35,313,9/17/2021,313,6.59,22,98,154,1125,9.2,2.7,14,61.4,1.3,3,6.2,1.9,0.08,23.23,42.96,33.81
Yr1EP3CornSys3BL3PL314-1Late Summer,2021,Yr1,8,3,EP3,3,BL3,3,Sys3,314,1,PL314-1,Cereal Rye/Red Clover,Corn,C,Cereal Rye,reduced,standard,13,2,82,83,112,113,15,198,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,314,1,9,2,0,0,11,7,0.23,8,15,6,40,15,8,53.33,6.68,65.34,332.18,0.518,1.031,-0.001,0.022,0.30,314,9/17/2021,314,6.75,16,97,197,1254.3,10.2,2.4,16.2,61.7,1.3,1.2,5.9,2.07,0.07,20.4,45.59,34.01
Yr1EP3CornSys2BL4PL412-1Late Summer,2021,Yr1,8,3,EP3,4,BL4,2,Sys2,412,1,PL412-1,Oat/Pea/Radish,Corn,C,Cereal Rye,shallow,shallow,13,2,82,83,112,113,15,193,Corn,2,SE2,Late Summer,9/27/2021,9/28/2021,412,1,3,5,2,0,10,10,0.24,12,16,0,0,15,10,66.67,6.77,79.1,385.41,0.464,1.021,-0.001,0.022,0.38,412,9/17/2021,412,7.41,8,124,360,1831,12.5,2.5,24.1,73.4,1.7,2.2,5.3,2.31,0.09,42.31,29.93,27.76
